Datetime,Load
2022-02-04 14:27:07,1279
2022-02-04 15:27:07,1347
2022-02-04 16:27:07,1668
2022-02-04 17:27:07,1891
2022-02-04 18:27:07,2421
2022-02-04 19:27:07,2121
2022-02-04 20:27:07,2368
2022-02-04 21:27:07,1907
2022-02-04 22:27:07,1874
2022-02-04 23:27:07,1515
2022-02-05 00:27:07,1201
2022-02-05 01:27:07,951
2022-02-05 02:27:07,873
2022-02-05 03:27:07,793
2022-02-05 04:27:07,923
2022-02-05 05:27:07,772
2022-02-05 06:27:07,800
2022-02-05 07:27:07,907
2022-02-05 08:27:07,976
2022-02-05 09:27:07,1378
2022-02-05 10:27:07,1460
2022-02-05 11:27:07,1382
2022-02-05 12:27:07,1359
2022-02-05 13:27:07,1747
2022-02-05 14:27:07,1288
2022-02-05 15:27:07,1569
2022-02-05 16:27:07,1536
2022-02-05 17:27:07,1861
2022-02-05 18:27:07,2391
2022-02-05 19:27:07,2175
2022-02-05 20:27:07,1962
2022-02-05 21:27:07,2141
2022-02-05 22:27:07,1575
2022-02-05 23:27:07,1327
2022-02-06 00:27:07,991
2022-02-06 01:27:07,1067
2022-02-06 02:27:07,865
2022-02-06 03:27:07,746
2022-02-06 04:27:07,765
2022-02-06 05:27:07,652
2022-02-06 06:27:07,869
2022-02-06 07:27:07,1050
2022-02-06 08:27:07,1236
2022-02-06 09:27:07,1559
2022-02-06 10:27:07,1346
2022-02-06 11:27:07,1275
2022-02-06 12:27:07,1565
2022-02-06 13:27:07,1644
2022-02-06 14:27:07,1314
2022-02-06 15:27:07,1272
2022-02-06 16:27:07,1597
2022-02-06 17:27:07,1954
2022-02-06 18:27:07,2365
2022-02-06 19:27:07,2133
2022-02-06 20:27:07,2084
2022-02-06 21:27:07,1815
2022-02-06 22:27:07,1893
2022-02-06 23:27:07,1213
2022-02-07 00:27:07,1048
2022-02-07 01:27:07,1065
2022-02-07 02:27:07,850
2022-02-07 03:27:07,801
2022-02-07 04:27:07,720
2022-02-07 05:27:07,732
2022-02-07 06:27:07,896
2022-02-07 07:27:07,990
2022-02-07 08:27:07,1100
2022-02-07 09:27:07,1360
2022-02-07 10:27:07,1443
2022-02-07 11:27:07,1630
2022-02-07 12:27:07,1361
2022-02-07 13:27:07,1674
2022-02-07 14:27:07,1539
2022-02-07 15:27:07,1640
2022-02-07 16:27:07,1556
2022-02-07 17:27:07,1803
2022-02-07 18:27:07,2411
2022-02-07 19:27:07,2107
2022-02-07 20:27:07,2223
2022-02-07 21:27:07,2118
2022-02-07 22:27:07,1547
2022-02-07 23:27:07,1398
2022-02-08 00:27:07,1081
2022-02-08 01:27:07,1089
2022-02-08 02:27:07,915
2022-02-08 03:27:07,941
2022-02-08 04:27:07,683
2022-02-08 05:27:07,787
2022-02-08 06:27:07,844
2022-02-08 07:27:07,1032
2022-02-08 08:27:07,1042
2022-02-08 09:27:07,1151
2022-02-08 10:27:07,1304
2022-02-08 11:27:07,1298
2022-02-08 12:27:07,1703
2022-02-08 13:27:07,1345
2022-02-08 14:27:07,1403
2022-02-08 15:27:07,1286
2022-02-08 16:27:07,1509
2022-02-08 17:27:07,1958
2022-02-08 18:27:07,2360
2022-02-08 19:27:07,2353
2022-02-08 20:27:07,2201
2022-02-08 21:27:07,1698
2022-02-08 22:27:07,1543
2022-02-08 23:27:07,1599
2022-02-09 00:27:07,1603
2022-02-09 01:27:07,1393
2022-02-09 02:27:07,1143
2022-02-09 03:27:07,1183
2022-02-09 04:27:07,1191
2022-02-09 05:27:07,840
2022-02-09 06:27:07,986
2022-02-09 07:27:07,1257
2022-02-09 08:27:07,1441
2022-02-09 09:27:07,2014
2022-02-09 10:27:07,1961
2022-02-09 11:27:07,1960
2022-02-09 12:27:07,2252
2022-02-09 13:27:07,2142
2022-02-09 14:27:07,1947
2022-02-09 15:27:07,2078
2022-02-09 16:27:07,2082
2022-02-09 17:27:07,2350
2022-02-09 18:27:07,3046
2022-02-09 19:27:07,2955
2022-02-09 20:27:07,2472
2022-02-09 21:27:07,2782
2022-02-09 22:27:07,2206
2022-02-09 23:27:07,1917
